"","c(""Post_stratification Estimate"", ""Survey Estimate"")","Republican Vote Proportion","Standard Deviation"
"1","Post_stratification Estimate",0.493907024748751,0.170718172684612
"2","Survey Estimate",0.477277160132631,0.499532123884655
